PathBank ID,Pathway Name,Pathway Subject,Metabolite ID,Metabolite Name,HMDB ID,KEGG ID,ChEBI ID,DrugBank ID,CAS,Formula,IUPAC,SMILES,InChI,InChI Key
SMP0012018,5-Deoxystrigol Biosynthesis,Metabolic,PW_C000437,B-Carotene,HMDB0000561,C02094,17579.0,,7235-40-7,C40H56,"1,3,3-trimethyl-2-[(1E,3E,5E,7E,9Z,11Z,13E,15E,17E)-3,7,12,16-tetramethyl-18-(2,6,6-trimethylcyclohex-1-en-1-yl)octadeca-1,3,5,7,9,11,13,15,17-nonaen-1-yl]cyclohex-1-ene",C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C,"InChI=1S/C40H56/c1-31(19-13-21-33(3)25-27-37-35(5)23-15-29-39(37,7)8)17-11-12-18-32(2)20-14-22-34(4)26-28-38-36(6)24-16-30-40(38,9)10/h11-14,17-22,25-28H,15-16,23-24,29-30H2,1-10H3/b12-11+,19-13+,20-14+,27-25+,28-26+,31-17+,32-18+,33-21+,34-22+",OENHQHLEOONYIE-JLTXGRSLSA-N
SMP0012018,5-Deoxystrigol Biosynthesis,Metabolic,PW_C057881,9-cis-β-Carotene,HMDB0112264,C20484,67188.0,,13312-52-2,C40H56,"1,3,3-trimethyl-2-[(1E,3E,5E,7E,9E,11E,13E,15Z,17E)-3,7,12,16-tetramethyl-18-(2,6,6-trimethylcyclohex-1-en-1-yl)octadeca-1,3,5,7,9,11,13,15,17-nonaen-1-yl]cyclohex-1-ene",C/C(/C=C/C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C\C=C\C=C(/C)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,"InChI=1S/C40H56/c1-31(19-13-21-33(3)25-27-37-35(5)23-15-29-39(37,7)8)17-11-12-18-32(2)20-14-22-34(4)26-28-38-36(6)24-16-30-40(38,9)10/h11-14,17-22,25-28H,15-16,23-24,29-30H2,1-10H3/b12-11+,19-13+,20-14+,27-25+,28-26+,31-17+,32-18+,33-21-,34-22+",OENHQHLEOONYIE-BVZAMQQESA-N
SMP0012018,5-Deoxystrigol Biosynthesis,Metabolic,PW_C009794,Iron,HMDB0015531,C00023,18248.0,DB01592,7439-89-6,Fe,lambda2-iron(2+) ion,[Fe++],InChI=1S/Fe/q+2,CWYNVVGOOAEACU-UHFFFAOYSA-N
SMP0012018,5-Deoxystrigol Biosynthesis,Metabolic,PW_C001065,Oxygen,HMDB0001377,C00007,15379.0,,7782-44-7,O2,oxidanone,O=O,InChI=1S/O2/c1-2,MYMOFIZGZYHOMD-UHFFFAOYSA-N
SMP0012018,5-Deoxystrigol Biosynthesis,Metabolic,PW_C057882,9-cis-10'-apo-β-carotenal,,C20692,67192.0,,,C27H36O,"(2E,4E,6E,8E,10E,12Z,14E)-4,9,13-trimethyl-15-(2,6,6-trimethylcyclohex-1-en-1-yl)pentadeca-2,4,6,8,10,12,14-heptaenal",[H]C(=O)\C=C\C(\C)=C\C=C\C=C(/C)\C=C\C=C(\C)/C=C/C1=C(C)CCCC1(C)C,"InChI=1S/C27H36O/c1-22(12-7-8-13-23(2)16-11-21-28)14-9-15-24(3)18-19-26-25(4)17-10-20-27(26,5)6/h7-9,11-16,18-19,21H,10,17,20H2,1-6H3/b8-7+,14-9+,16-11+,19-18+,22-12+,23-13+,24-15-",PJEHRCCPERVGEC-OLTPUEGQSA-N
SMP0012018,5-Deoxystrigol Biosynthesis,Metabolic,PW_C017456,β-Ionone,HMDB0036565,C12287,32325.0,,79-77-6,C13H20O,"(3E)-4-(2,6,6-trimethylcyclohex-1-en-1-yl)but-3-en-2-one",CC(=O)\C=C\C1=C(C)CCCC1(C)C,"InChI=1S/C13H20O/c1-10-6-5-9-13(3,4)12(10)8-7-11(2)14/h7-8H,5-6,9H2,1-4H3/b8-7+",PSQYTAPXSHCGMF-BQYQJAHWSA-N
SMP0012018,5-Deoxystrigol Biosynthesis,Metabolic,PW_C000544,Fe2+,HMDB0000692,C14818,29033.0,DB01592,15438-31-0,Fe,lambda2-iron(2+) ion,[Fe++],InChI=1S/Fe/q+2,CWYNVVGOOAEACU-UHFFFAOYSA-N
SMP0012018,5-Deoxystrigol Biosynthesis,Metabolic,PW_C057883,carlactone,,C20693,67190.0,,,C19H26O3,"3-methyl-5-{[(1Z,3E)-2-methyl-4-(2,6,6-trimethylcyclohex-1-en-1-yl)buta-1,3-dien-1-yl]oxy}-2,5-dihydrofuran-2-one",C\C(=C\OC1OC(=O)C(C)=C1)\C=C\C1=C(C)CCCC1(C)C,"InChI=1S/C19H26O3/c1-13(12-21-17-11-15(3)18(20)22-17)8-9-16-14(2)7-6-10-19(16,4)5/h8-9,11-12,17H,6-7,10H2,1-5H3/b9-8+,13-12-",OTIYLZVFQIMLQH-FRGMPSNRSA-N
SMP0012018,5-Deoxystrigol Biosynthesis,Metabolic,PW_C057884,"(2E,4E,6E)-7-hydroxy-4-methylhepta-2,4,6-trienal",,C20694,67191.0,,,C8H10O2,"(2E,4E,6E)-7-hydroxy-4-methylhepta-2,4,6-trienal",C\C(\C=C\C=O)=C/C=C/O,"InChI=1S/C8H10O2/c1-8(4-2-6-9)5-3-7-10/h2-7,9H,1H3/b5-3+,6-2+,8-4+",TYQZWSFEJJSSQR-YUHMVAQCSA-N
SMP0012018,5-Deoxystrigol Biosynthesis,Metabolic,PW_C057885,carlactone carboxylate,,,,,,C19H23O5,"(2E,3E)-2-{[(4-methyl-5-oxo-2,5-dihydrofuran-2-yl)oxy]methylidene}-4-(2,6,6-trimethylcyclohex-1-en-1-yl)but-3-enoate",[H]\C(OC1OC(=O)C(C)=C1)=C(\C(\[H])=C(/[H])C1=C(C)CCCC1(C)C)/C([O-])=O,"InChI=1S/C19H24O5/c1-12-6-5-9-19(3,4)15(12)8-7-14(17(20)21)11-23-16-10-13(2)18(22)24-16/h7-8,10-11,16H,5-6,9H2,1-4H3,(H,20,21)/p-1/b8-7+,14-11+",WUBRWXCVIPHXLX-DQBULIGTSA-M
SMP0012018,5-Deoxystrigol Biosynthesis,Metabolic,PW_C040034,Hydrogen Ion,HMDB0059597,C00080,15378.0,,,H,hydron,[H+],InChI=1S/p+1,GPRLSGONYQIRFK-UHFFFAOYSA-N
SMP0012018,5-Deoxystrigol Biosynthesis,Metabolic,PW_C001799,Heme,HMDB0003178,C00032,17627.0,DB02577,14875-96-8,C34H32FeN4O4,"4,20-bis(2-carboxyethyl)-10,15-diethenyl-5,9,14,19-tetramethyl-2lambda5,22,23lambda5,25-tetraaza-1-ferraoctacyclo[11.9.1.1^{1,8}.1^{3,21}.0^{2,6}.0^{16,23}.0^{18,22}.0^{11,25}]pentacosa-2,4,6,8,10,12,14,16(23),17,19,21(24)-undecaene-2,23-bis(ylium)-1,1-diuide",CC1=C(CCC(O)=O)C2=CC3=[N+]4C(=CC5=C(C)C(C=C)=C6C=C7C(C)=C(C=C)C8=[N+]7[Fe--]4(N2C1=C8)N56)C(C)=C3CCC(O)=O,"InChI=1S/C34H34N4O4.Fe/c1-7-21-17(3)25-13-26-19(5)23(9-11-33(39)40)31(37-26)16-32-24(10-12-34(41)42)20(6)28(38-32)15-30-22(8-2)18(4)27(36-30)14-29(21)35-25;/h7-8,13-16H,1-2,9-12H2,3-6H3,(H4,35,36,37,38,39,40,41,42);/q;+2/p-2/b25-13-,26-13-,27-14-,28-15-,29-14-,30-15-,31-16-,32-16-;",KABFMIBPWCXCRK-RGGAHWMASA-L
